Date,Station Name,Latitude (y),Longitude (x),Mean Temp (°C),Total Precip (mm),Spd of Max Gust (km/h),Is_Fire_Event,size_ha
2017-07-01,KELOWNA,49.96,-119.38,23.7,0.0,39.0,0.0,0.0
2017-07-02,KELOWNA,49.96,-119.38,22.8,0.0,35.0,0.0,0.0
2017-07-03,KELOWNA,49.96,-119.38,22.2,0.0,25.0,0.0,0.0
2017-07-04,KELOWNA,49.96,-119.38,19.4,0.0,25.0,0.0,0.0
2017-07-08,KELOWNA,49.96,-119.38,22.1,0.0,25.0,0.0,0.0
2017-07-09,KELOWNA,49.96,-119.38,22.9,0.0,35.0,0.0,0.0
2017-07-10,KELOWNA,49.96,-119.38,23.3,0.0,33.0,0.0,0.0
2017-07-11,KELOWNA,49.96,-119.38,21.9,0.0,25.0,0.0,0.0
2017-07-12,KELOWNA,49.96,-119.38,22.6,0.0,32.0,0.0,0.0
2017-07-13,KELOWNA,49.96,-119.38,21.2,0.0,25.0,0.0,0.0
2017-07-14,KELOWNA,49.96,-119.38,21.9,0.0,25.0,0.0,0.0
2017-07-15,KELOWNA,49.96,-119.38,22.9,0.0,46.0,0.0,0.0
2017-07-16,KELOWNA,49.96,-119.38,19.3,0.0,43.0,0.0,0.0
2017-07-17,KELOWNA,49.96,-119.38,16.6,0.0,32.0,0.0,0.0
2017-07-18,KELOWNA,49.96,-119.38,18.3,0.0,25.0,0.0,0.0
2017-07-19,KELOWNA,49.96,-119.38,21.5,0.0,35.0,0.0,0.0
2017-07-20,KELOWNA,49.96,-119.38,19.7,0.0,44.0,0.0,0.0
2017-07-21,KELOWNA,49.96,-119.38,17.0,0.0,25.0,0.0,0.0
2017-07-22,KELOWNA,49.96,-119.38,23.2,0.0,25.0,0.0,0.0
2017-07-24,KELOWNA,49.96,-119.38,16.2,0.0,43.0,0.0,0.0
2017-07-25,KELOWNA,49.96,-119.38,18.8,0.0,25.0,0.0,0.0
2017-07-28,KELOWNA,49.96,-119.38,20.9,0.0,25.0,0.0,0.0
2017-07-29,KELOWNA,49.96,-119.38,22.3,0.0,25.0,0.0,0.0
2017-07-30,KELOWNA,49.96,-119.38,22.1,0.0,25.0,0.0,0.0
